Idade,Classe Trabalhadora,Educacao,Num Educacao,Ocupacao,Ganho de Capital,Perda de Capital,Horas por Semana,Renda
39, State-gov, Bachelors,13, Adm-clerical,2174,0,40, <=50K
50, Self-emp-not-inc, Bachelors,13, Exec-managerial,0,0,13, <=50K
38, Private, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
53, Private, 11th,7, Handlers-cleaners,0,0,40, <=50K
28, Private, Bachelors,13, Prof-specialty,0,0,40, <=50K
37, Private, Masters,14, Exec-managerial,0,0,40, <=50K
49, Private, 9th,5, Other-service,0,0,16, <=50K
52, Self-emp-not-inc, HS-grad,9, Exec-managerial,0,0,45, >50K
31, Private, Masters,14, Prof-specialty,14084,0,50, >50K
42, Private, Bachelors,13, Exec-managerial,5178,0,40, >50K
37, Private, Some-college,10, Exec-managerial,0,0,80, >50K
30, State-gov, Bachelors,13, Prof-specialty,0,0,40, >50K
23, Private, Bachelors,13, Adm-clerical,0,0,30, <=50K
32, Private, Assoc-acdm,12, Sales,0,0,50, <=50K
40, Private, Assoc-voc,11, Craft-repair,0,0,40, >50K
34, Private, 7th-8th,4, Transport-moving,0,0,45, <=50K
25, Self-emp-not-inc, HS-grad,9, Farming-fishing,0,0,35, <=50K
32, Private, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
38, Private, 11th,7, Sales,0,0,50, <=50K
43, Self-emp-not-inc, Masters,14, Exec-managerial,0,0,45, >50K
40, Private, Doctorate,16, Prof-specialty,0,0,60, >50K
54, Private, HS-grad,9, Other-service,0,0,20, <=50K
35, Federal-gov, 9th,5, Farming-fishing,0,0,40, <=50K
43, Private, 11th,7, Transport-moving,0,2042,40, <=50K
59, Private, HS-grad,9, Tech-support,0,0,40, <=50K
56, Local-gov, Bachelors,13, Tech-support,0,0,40, >50K
19, Private, HS-grad,9, Craft-repair,0,0,40, <=50K
54, HS-grad, Some-college,10,,0,0,60, >50K
39, Private, HS-grad,9, Exec-managerial,0,0,80, <=50K
49, Private, HS-grad,9, Craft-repair,0,0,40, <=50K
23, Local-gov, Assoc-acdm,12, Protective-serv,0,0,52, <=50K
20, Private, Some-college,10, Sales,0,0,44, <=50K
45, Private, Bachelors,13, Exec-managerial,0,1408,40, <=50K
30, Federal-gov, Some-college,10, Adm-clerical,0,0,40, <=50K
22, State-gov, Some-college,10, Other-service,0,0,15, <=50K
48, Private, 11th,7, Machine-op-inspct,0,0,40, <=50K
21, Private, Some-college,10, Machine-op-inspct,0,0,40, <=50K
19, Private, HS-grad,9, Adm-clerical,0,0,25, <=50K
31, Private, Some-college,10, Sales,0,0,38, >50K
48, Self-emp-not-inc, Assoc-acdm,12, Prof-specialty,0,0,40, <=50K
31, Private, 9th,5, Machine-op-inspct,0,0,43, <=50K
53, Self-emp-not-inc, Bachelors,13, Prof-specialty,0,0,40, <=50K
24, Private, Bachelors,13, Tech-support,0,0,50, <=50K
49, Private, HS-grad,9, Adm-clerical,0,0,40, <=50K
25, Private, HS-grad,9, Handlers-cleaners,0,0,35, <=50K
57, Federal-gov, Bachelors,13, Prof-specialty,0,0,40, >50K
53, Private, HS-grad,9, Machine-op-inspct,0,0,38, <=50K
44, Private, Masters,14, Exec-managerial,0,0,40, <=50K
41, State-gov, Assoc-voc,11, Craft-repair,0,0,40, <=50K
29, Private, Assoc-voc,11, Prof-specialty,0,0,43, <=50K
25, Private, Some-college,10, Exec-managerial,0,0,40, <=50K
18, Private, HS-grad,9, Other-service,0,0,30, <=50K
47, Private, Prof-school,15, Prof-specialty,0,1902,60, >50K
50, Federal-gov, Bachelors,13, Exec-managerial,0,0,55, >50K
47, Self-emp-inc, HS-grad,9, Exec-managerial,0,0,60, <=50K
43, Private, Some-college,10, Tech-support,0,0,40, >50K
46, Private, 5th-6th,3, Machine-op-inspct,0,0,40, <=50K
35, Private, Assoc-voc,11, Other-service,0,0,40, <=50K
41, Private, HS-grad,9, Adm-clerical,0,0,48, <=50K
30, Private, HS-grad,9, Machine-op-inspct,5013,0,40, <=50K
30, Private, Bachelors,13, Sales,2407,0,40, <=50K
32, HS-grad, 7th-8th,4,,0,0,40, <=50K
48, Private, HS-grad,9, Transport-moving,0,0,40, <=50K
42, Private, Doctorate,16, Prof-specialty,0,0,45, >50K
29, Private, Some-college,10, Tech-support,0,0,58, <=50K
36, Private, HS-grad,9, Craft-repair,0,0,40, <=50K
28, Private, Some-college,10, Adm-clerical,0,0,40, <=50K
53, Private, HS-grad,9, Adm-clerical,0,0,40, >50K
49, Self-emp-inc, Some-college,10, Exec-managerial,0,0,50, >50K
25, HS-grad, Some-college,10,,0,0,40, <=50K
19, Private, Some-college,10, Prof-specialty,0,0,32, <=50K
31, Private, Bachelors,13, Sales,0,0,40, <=50K
29, Self-emp-not-inc, Bachelors,13, Sales,0,0,70, >50K
23, Private, Some-college,10, Machine-op-inspct,0,0,40, <=50K
79, Private, Some-college,10, Prof-specialty,0,0,20, <=50K
27, Private, HS-grad,9, Other-service,0,0,40, <=50K
40, Private, Assoc-acdm,12, Adm-clerical,0,0,40, <=50K
67, HS-grad, 10th,6,,0,0,2, <=50K
18, Private, 11th,7, Other-service,0,0,22, <=50K
31, Local-gov, 7th-8th,4, Farming-fishing,0,0,40, <=50K
18, Private, HS-grad,9, Sales,0,0,30, <=50K
52, Private, Bachelors,13, Other-service,0,0,40, <=50K
46, Private, HS-grad,9, Other-service,0,0,40, <=50K
59, Private, HS-grad,9, Sales,0,0,48, <=50K
44, Private, HS-grad,9, Craft-repair,14344,0,40, >50K
53, Private, HS-grad,9, Sales,0,0,35, <=50K
49, Local-gov, HS-grad,9, Protective-serv,0,0,40, >50K
33, Private, Masters,14, Prof-specialty,0,0,50, <=50K
30, Private, 9th,5, Sales,0,0,40, <=50K
43, Federal-gov, Doctorate,16, Prof-specialty,0,0,50, >50K
57, Private, Assoc-voc,11, Prof-specialty,0,0,40, <=50K
37, Private, Some-college,10, Craft-repair,0,0,40, <=50K
28, Private, Some-college,10, Machine-op-inspct,0,0,25, <=50K
30, Private, HS-grad,9, Sales,0,1573,35, <=50K
34, Local-gov, Bachelors,13, Protective-serv,0,0,40, >50K
29, Local-gov, Some-college,10, Handlers-cleaners,0,0,50, <=50K
